,file_contents
5238,"was it the first quiz we messed up? was it our first gpa? was it the disco? i guess there
"
5239,"were enough things we screwed up to earn our place in that club.
"
5240,"amongst the three of us, ryan had his interview first, followed by alok and then me.
"
5241,"before the interview, we took an aptitude test. it had simple iq type questions that any
"
5242,"itian could answer after a bottle of vodka in him.
"
5243,"“tt 1s the interview. that 1s where they decide,” alok said.
"
5244,"we submitted our grade sheets. the seventh semester column was blank, with ‘research
"
5245,"absence’, emblazoned across it. the rest of the semesters were pretty ordinary, lots of cs
"
5246,"and ds.
"
5247,"“best of luck, ryan,” alok said as he hugged ryan.
"
5248,"“careful, don’t spoil the crease,” ryan warned.
"
5249,"he came out after twenty minutes.
"
5250,"“how was it?” alok said.
"
5251,"“don’t know. not too great i guess. they only asked about my low grades, and why i
"
5252,"wanted to do this and all that,” ryan said.
"
5253,"“so what did you say,” i said.
"
5254,"“just whatever. let us just wait and see,” he said.
"
5255,"alok went for twenty minutes. it was my turn as soon as he came out.
"
5256,"a thirty-year-old man welcomed me into the interview room.
"
5257,"“hi, iam kamal desai. you are hari, right?” he said.
"
5258,"“yes sir,” i said.
"
5259,"“sit down, sit down. and don’t sir me, call me kamal.”
"
5260,"i sat down quietly. kamal browsed through my files and then stopped at the grade sheet.
"
5261,"“hmmm...5.48 overall, what happened?” he looked into my eyes.
"
5262,"it was right at this moment when i should have had my panic attack. but i didn’t this time.
"
5263,"i don’t know why, but ever since i saw ryan’s plan fail, alok jump and cherian cry, the
"
5264,"whole wide world didn’t intimidate me anymore.
"
5265,"“it screwed up my first semester, sir... mean kamal. and it is really hard to come back in
"
5266,"iit if you miss the first time.”
"
5267,"“that is very interesting. what happened in the first sem?” kamal said
"
5268,"“don’t know. felt like enjoying college life a bit. i guess iit is not that type of college,” i
"
5269,"said.
"
5270,"“yes, iits are truly different. tell me, do you like itt?” kamal said.
"
5271,"it was a loaded question. a question no one had asked me before. i had thought i’d be
"
5272,"quick to say how i hated every living moment of it, but couldn’t. i remembered my first day
"
5273,"— the day ryan saved me from baku and his coke bottles. four years, and soon 1t would be
"
5274,"time to leave this place. did i like it here?
"
5275,"“t don’t know. there are things i'd rather forget. but i met my best friends here, and
"
5276,"hopefully this place will get me a job,” i said.
"
5277,"kamal laughed. i could see him as one of the students ten years ago. i wondered what his
"
5278,"gpa had been in his time. that 1s the thing about iit, you see people and you wonder what
"
5279,"their gpa was. you kind of need that to judge them. sad.
"
5280,"kamal asked me a few more questions about why i wanted to join the software sector.
"
5281,"hell, i'd kiss any sector that would give me a job. and this was my one chance.
"
5282,"“tt was very interesting talking to you. that’s all for now,” kamal said as he escorted me
"
5283,"out of the room.
"
5284,"“interesting talking to you” — i repeated the phrase three times in my head. what was that
"
5285,"supposed to mean? just a polite way of saying i was weird and stood no chance? or did
"
5286,"my pathetic resume file really charm him?
"
5287,"we waited another hour for the results. and that 1s when i realized that for once my luck
"
5288,"might have turned for the better.
"
5289,"“hari, you and i have made it! you got an offer in bombay and i got delhi,” alok said
"
5290,"and tugged at my shirt.
"
5291,"i became numb and couldn’t answer him for the next five minutes. a crowd of students
"
5292,"almost crushed me in their rush to the notice board. i was lost in my thoughts. just a few
"
5293,"days ago, i was planning to spend an extra year to complete five credits and collect a tainted
"
5294,"grade sheet. now i had a way out. and i had a job.
"
5295,"“t didn’t get it,” ryan said.
"
5296,"“what?”
"
5297,"that had to be a mistake. how could alok and i get a job while ryan not?
"
5298,"“what happened?” i said.
"
5299,"“t don’t know. fuck man, fuck-fuck-fuck,” ryan said as he walked away from us.
"
5300,"“where 1s he going?” alok said.
"
5301,"“t don’t know,” i said.
"
5302,"for a couple of moments i forgot my own job. ryan had not got a job? he was the
"
5303,"creative, confident, smart one. he was what i always wanted to be. so he had almost the
"
5304,"lowest grade in the insti, but this is ryan, hello?
"
5305,"“we got a job, hari. six grand a month,” alok said.
"
5306,"“huh? oh, yeah,” i said, suspending my concern for ryan for a while. “so, we’re not just
"
5307,"five-point somethings anymore, we are five point somebodies.”
"
5308,"alok spoke to his parents on the phone for two hours that night. i think he read out the whole
"
5309,"offer letter to them. his mother noted down the entire package — basic salary, travel
"
5310,"allowance and of course, the much needed medical benefits. alok was thrilled.
"
5311,"i was still kind of numb. when good things happen to you, you kind of feel there is
"
5312,"something odd. like this could be a dream. that kamal desai of technosoft will call me
"
5313,"and say it was all a bad joke. and then again, the job was in bombay.
"
5314,"“what 1s with you? you don’t seem so excited,” alok said as he got out of the phone
"
5315,"booth.
"
5316,"“tam. i am. but it 1s in bombay. what about neha?” i said.
"
5317,"“what about her? you’ll still continue after iit?” alok asked naively, as if she had been
"
5318,"part of my curriculum here.
"
5319,"“why not?” i said, placing my fingers in the booth’s grill.
"
5320,"alok shrugged his shoulders. it was pointless talking to him. he would have rather
"
5321,"discussed the dental benefits that the job gave us.
"
5322,"“where 1s ryan?” i said.
"
5323,"“t think he went to the lab. he said he wanted to talk to prof veera,” i said.
"
5324,"“t hope he finds something. i think that is the other reason why i can’t be so fully excited,”
"
5325,"i said.
"
5326,"“tt’s hard for him. he is only 5.01, and the last in class. it is difficult for him to get
"
5327,"placed,” alok said.
"
5328,"“but he 1s so smart. i mean, the lube project is basically all his,” i said.
"
5329,"“gpas matter,” alok said and walked away.
"
5330,"ryan did not get a job for another month. our semester sped by really fast, especially since
"
5331,"we were so busy trying to meet our deadlines. ryan kept applying to companies, but he only
"
5332,"got two more interviews. the last guy in the class always found it hardest to get a job. for
"
5333,"that matter, if kamal desai was not into honesty appreciation that day, i might have been in
"
5334,"ryan’s situation.
"
5335,"“you guys can’t lose heart. ryan, you must keep trying,” prof veera exhorted as we stood
"
5336,"in the lab.
"
5337,"ryan’s scooter engine was running at full blast. today’s mixture had an unusually bad
"
5338,"smell, stinking up the whole lab. i kind of wished this was not the optimal mix for our final
"
5339,"lubricant.
"
5340,"“t can’t prof veera. it is not going to work,” ryan said, looking at the exhaust fumes
"
5341,"coming out of the engine.
"
5342,"“of course, it will. but i do feel you are made for better things than a run-of-the mill
"
5343,"software job,” prof veera said.
"
5344,"“what do you mean?” ryan said.
"
5345,"“t mean you should work in research. what 1s in a software job? you are contract labour
"
5346,"at cheap prices for foreigners. ryan, you really think you will be happy there?”
"
5347,"“t would be,” alok said.
"
